scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
post-dis,Post Matric Scholarship Students With Disabilities,POST-DIS,Central,Individual,Ministry Of Social Justice and Empowerment,All,Education & Learning;Social welfare & Empowerment,Persons With Disability;Post-Matric;Student;Scholarship;Diploma;Degree;Graduation;Post-Graduation,"A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India.",,1.0,"Post Matric Scholarship Students With Disabilities. A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India. Category: Education & Learning, Social welfare & Empowerment. Tags: Persons With Disability, Post-Matric, Student, Scholarship, Diploma, Degree, Graduation, Post-Graduation."
sl,Skill Loan Scheme,SL,Central,Individual,Ministry Of Skill Development And Entrepreneurship,All,"Skills & Employment;Banking,Financial Services and Insurance",Skill Development;Student;Industrial Training Institutes (ITIs);Polytechnics,"A Skill loan scheme by Ministry of Skill Development and Entrepreneurship to provide loan upto Rs. 1,50,000 to student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affil",,1.0,"Skill Loan Scheme. A Skill loan scheme by Ministry of Skill Development and Entrepreneurship to provide loan upto Rs. 1,50,000 to student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affil Category: Skills & Employment, Banking,Financial Services and Insurance. Tags: Skill Development, Student, Industrial Training Institutes (ITIs), Polytechnics."
nos-swd,National Overseas Scholarship For Students With Disabilities,NOS-SWD,Central,Individual,Ministry Of Social Justice and Empowerment,All,Education & Learning;Social welfare & Empowerment,Scholarship;Student;Person With Disability;Higher Education;Degree;Empowerment;PhD;Post-Graduation,"A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study.",,1.0,"National Overseas Scholarship For Students With Disabilities. A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study. Category: Education & Learning, Social welfare & Empowerment. Tags: Scholarship, Student, Person With Disability, Higher Education, Degree, Empowerment, PhD, Post-Graduation."
rmewf,RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,RMEWF,Central,Individual,Ministry Of Defence,All,Health & Wellness,Ex-Servicemen;Health Checkup;Medical Expenses;Health Treatment;Widow Of Ex-Servicemen,A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses.,,1.0,"RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen. A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses. Category: Health & Wellness. Tags: Ex-Servicemen, Health Checkup, Medical Expenses, Health Treatment, Widow Of Ex-Servicemen."
wos-c,Women Scientist Scheme-C,WOS-C,Central,Individual,Ministry Of Science And Technology,All,"Skills & Employment;Social welfare & Empowerment;Science, IT & Communications;Women and Child",Women;Scientist;Science;Technology;Post-graduation;Skill,"A scheme by MoST for female candidates with a break in their career interested in addressing societal challenges through viable S&T interventions. 1-year training is provided in Intellectual Property Rights (IPRs), patent search, know-how, drafting, filing, trademarks, trade secrets, and copyright.",,1.0,"Women Scientist Scheme-C. A scheme by MoST for female candidates with a break in their career interested in addressing societal challenges through viable S&T interventions. 1-year training is provided in Intellectual Property Rights (IPRs), patent search, know-how, drafting, filing, trademarks, trade secrets, and copyright. Category: Skills & Employment, Social welfare & Empowerment, Science, IT & Communications, Women and Child. Tags: Women, Scientist, Science, Technology, Post-graduation, Skill."
sui,Stand-Up India,SUPI,Central,Individual,Ministry Of Finance,All,"Business & Entrepreneurship;Banking,Financial Services and Insurance;Social welfare & Empowerment",Loan;Entrepreneur;Finance;Business,"A scheme by Ministry of Finance for financing SC/ST and Women Entrepreneurs by facilitating bank loans for setting up a greenfield project Enterprise in manufacturing, services, trading sector and activities allied to agriculture.",2025-03-31,1.0,"Stand-Up India. A scheme by Ministry of Finance for financing SC/ST and Women Entrepreneurs by facilitating bank loans for setting up a greenfield project Enterprise in manufacturing, services, trading sector and activities allied to agriculture. Category: Business & Entrepreneurship, Banking,Financial Services and Insurance, Social welfare & Empowerment. Tags: Loan, Entrepreneur, Finance, Business."
pmsby,Pradhan Mantri Suraksha Bima Yojana,PMSBY,Central,Individual,Ministry Of Finance,All,"Banking,Financial Services and Insurance",Bank Account Holders;Insurance;Accident Insurance;Death Insurance,An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident.,,1.0,"Pradhan Mantri Suraksha Bima Yojana. An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident. Category: Banking,Financial Services and Insurance. Tags: Bank Account Holders, Insurance, Accident Insurance, Death Insurance."
sfava,Scheme For Financial Assistance For Veteran Artists,Sfava,Central,Individual,Ministry Of Culture,All,Sports & Culture;Social welfare & Empowerment,Artists;Pension;Veteran;Culture;Senior Citizen;Financial Assistance,"A pension scheme by MoC improves the financial and socio-economic status of the old artists and scholars who have contributed significantly in their specialized fields. Still, due to old age, they have to lead a miserable life or are in penury condition.",,1.0,"Scheme For Financial Assistance For Veteran Artists. A pension scheme by MoC improves the financial and socio-economic status of the old artists and scholars who have contributed significantly in their specialized fields. Still, due to old age, they have to lead a miserable life or are in penury condition. Category: Sports & Culture, Social welfare & Empowerment. Tags: Artists, Pension, Veteran, Culture, Senior Citizen, Financial Assistance."
pmkvy-stt,Pradhan Mantri Kaushal Vikas Yojana - Short Term Training,PMKVY -STT,Central,Individual,Ministry Of Skill Development And Entrepreneurship,All,Business & Entrepreneurship;Skills & Employment,Placement;Counselling;Training;Dropout;Unemployed;Skill;Vikas;Kaushal,A skill development scheme by Ministry of Skill Development and Entrepreneurship for school/college dropouts/unemployed aged 15-45 at PMKVY Training Centres (TCs).,,1.0,"Pradhan Mantri Kaushal Vikas Yojana - Short Term Training. A skill development scheme by Ministry of Skill Development and Entrepreneurship for school/college dropouts/unemployed aged 15-45 at PMKVY Training Centres (TCs). Category: Business & Entrepreneurship, Skills & Employment. Tags: Placement, Counselling, Training, Dropout, Unemployed, Skill, Vikas, Kaushal."
rmewf-vocational-training,RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen,RMEWF -VOCATIONAL TRAINING,Central,Individual,Ministry Of Defence,All,Education & Learning;Women and Child,Widows Of Ex-Servicemen;Vocational Training;Grant,A scheme to provide financial assistance to a widow of Ex-Servicemen to settle in life through vocational training.,,1.0,"RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen. A scheme to provide financial assistance to a widow of Ex-Servicemen to settle in life through vocational training. Category: Education & Learning, Women and Child. Tags: Widows Of Ex-Servicemen, Vocational Training, Grant."
