scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
pmmsyiceboxguj,PMMSY: Motorcycle with Ice Box - Gujarat,PMMSYICEBOXGUJ,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Construction Of Plant;Storage;Fishermen;Fish Sellers,"The scheme aims to provide financial assistance for the purchase of motorcycles with ice boxes. Through this scheme, eligible beneficiaries receive subsidies to enhance their livelihood opportunities.",,1.0,"PMMSY: Motorcycle with Ice Box - Gujarat. The scheme aims to provide financial assistance for the purchase of motorcycles with ice boxes. Through this scheme, eligible beneficiaries receive subsidies to enhance their livelihood opportunities. Category: Agriculture,Rural & Environment. Tags: Construction Of Plant, Storage, Fishermen, Fish Sellers."
lisulm,National Livestock Mission: Livestock Insurance Scheme - Uttarakhand Livestock Development Board,NLMLIS,State,Individual,Not specified (state scheme),Uttarakhand,"Agriculture,Rural & Environment",Livestock;Animal Husbandry;Insurance;Cattle,"The scheme aims to provide insurance coverage to livestock in order to protect cattle rearers against the loss of their animals due to death, thereby encouraging them to adopt better animal husbandry practices.",,1.0,"National Livestock Mission: Livestock Insurance Scheme - Uttarakhand Livestock Development Board. The scheme aims to provide insurance coverage to livestock in order to protect cattle rearers against the loss of their animals due to death, thereby encouraging them to adopt better animal husbandry practices. Category: Agriculture,Rural & Environment. Tags: Livestock, Animal Husbandry, Insurance, Cattle."
btlpdfp,Back-To-Lab Post-Doctoral Fellowship Programme,BTLPDFP,State,Individual,Not specified (state scheme),Kerala,Education & Learning;Women and Child,Woman;Scientist;Post-Doctoral;Fellowship;Unemployed,"The “Back-to-Lab” programme of Women Scientists Division offers Research and Post-Doctoral Fellowship to women who have break in their career, to facilitate their re-entry in science research.",,1.0,"Back-To-Lab Post-Doctoral Fellowship Programme. The “Back-to-Lab” programme of Women Scientists Division offers Research and Post-Doctoral Fellowship to women who have break in their career, to facilitate their re-entry in science research. Category: Education & Learning, Women and Child. Tags: Woman, Scientist, Post-Doctoral, Fellowship, Unemployed."
aoftmea,Award of Fellowship to Most Eminent Artist,AOFTMEA,State,Individual,Not specified (state scheme),Gujarat,Sports & Culture,Eminent Artist;Fellowship;Visual Arts;Retired Artists,"The scheme aims to honor senior eminent artists through the provision of financial assistance in the form of a monthly fellowship of ₹5,000/- for one year to support their continued contribution to the field of plastic arts.",,1.0,"Award of Fellowship to Most Eminent Artist. The scheme aims to honor senior eminent artists through the provision of financial assistance in the form of a monthly fellowship of ₹5,000/- for one year to support their continued contribution to the field of plastic arts. Category: Sports & Culture. Tags: Eminent Artist, Fellowship, Visual Arts, Retired Artists."
byswb,Banglar Yuba Sathi,BYSWB,State,Individual,Not specified (state scheme),West Bengal,Social welfare & Empowerment,Unemployed Youth Allowance;Youth Welfare;Monthly Allowance;Banglar Yuba Sathi,The scheme aims to provide monthly financial assistance to educated unemployed youth of West Bengal to support them until they get employment or join another scheme. The objective is to ensure income support for eligible unemployed youth for a maximum period of 5 years.,,1.0,"Banglar Yuba Sathi. The scheme aims to provide monthly financial assistance to educated unemployed youth of West Bengal to support them until they get employment or join another scheme. The objective is to ensure income support for eligible unemployed youth for a maximum period of 5 years. Category: Social welfare & Empowerment. Tags: Unemployed Youth Allowance, Youth Welfare, Monthly Allowance, Banglar Yuba Sathi."
psftj,Pension Scheme for the Journalists,PSFTJ,State,Individual,Not specified (state scheme),Tamil Nadu,Social welfare & Empowerment,Pension;Retirement;Financial Assistance,"The ""Pension Scheme for the Journalists"" was launched by the Tamil Development, Religious Endowments, and Information Department, Government of Tamil Nadu. The scheme aims to give a monthly pension to retired journalists.",,1.0,"Pension Scheme for the Journalists. The ""Pension Scheme for the Journalists"" was launched by the Tamil Development, Religious Endowments, and Information Department, Government of Tamil Nadu. The scheme aims to give a monthly pension to retired journalists. Category: Social welfare & Empowerment. Tags: Pension, Retirement, Financial Assistance."
dacssiselosobcebc,Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs),DACSSISELOSOBCEBC,Central,Individual,Ministry Of Social Justice and Empowerment,All,"Education & Learning;Social welfare & Empowerment;Banking,Financial Services and Insurance",Loan;Subsidy;Interest;Education;Other Backward Class;Economically Backward Class,"The scheme provides interest subsidy to the students belonging to the OBCs and EBCs on the interest payable for the period of the moratorium for the Education Loans for overseas studies to pursue approved courses of studies abroad at Masters, M.Phil. and PhD level.",,1.0,"Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs). The scheme provides interest subsidy to the students belonging to the OBCs and EBCs on the interest payable for the period of the moratorium for the Education Loans for overseas studies to pursue approved courses of studies abroad at Masters, M.Phil. and PhD level. Category: Education & Learning, Social welfare & Empowerment, Banking,Financial Services and Insurance. Tags: Loan, Subsidy, Interest, Education, Other Backward Class, Economically Backward Class."
copy-of-cfpc,"Distribution of Materials to Promote Herbal Cultivation in Uttarakhand - Herbal Research and Development Institute, Uttarakhand",DMPHCUKHRDI,State,Individual,Not specified (state scheme),Uttarakhand,"Agriculture,Rural & Environment",Herbal Research;Herbal;Distribution Of Seeds;Distribution Of Saplings;Medicinal Plant;Farmer,"Under this scheme, there is a special provision for the free distribution of seeds or saplings of medicinal plants up to 3 nali and seeds or saplings of aromatic plants up to 5 nali to farmers belonging to border districts, Scheduled Castes/Tribes, and Below Poverty Line (BPL) categories.",,1.0,"Distribution of Materials to Promote Herbal Cultivation in Uttarakhand - Herbal Research and Development Institute, Uttarakhand. Under this scheme, there is a special provision for the free distribution of seeds or saplings of medicinal plants up to 3 nali and seeds or saplings of aromatic plants up to 5 nali to farmers belonging to border districts, Scheduled Castes/Tribes, and Below Poverty Line (BPL) categories. Category: Agriculture,Rural & Environment. Tags: Herbal Research, Herbal, Distribution Of Seeds, Distribution Of Saplings, Medicinal Plant, Farmer."
acfpast,Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category),ACFPAST,State,Individual,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Animal Husbandry;Pregnant Cattle;Milk Production,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Tribe Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.",,1.0,"Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category). This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Tribe Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production. Category: Agriculture,Rural & Environment. Tags: Animal Husbandry, Pregnant Cattle, Milk Production."
pmssc,Post Matric Scholarship For Scheduled Caste,PMSSC,State,Individual,Not specified (state scheme),Punjab,Social welfare & Empowerment,Post Matric;Scholarship;Scheduled Cast;Punjab,"The objective of the scheme is to appreciably increase the Gross Enrolment Ratio of SC students in higher education with a focus on those from the poorest households, by providing financial assistance at the post-matriculation or post-secondary stage to enable them to complete their education.",2023-01-31,1.0,"Post Matric Scholarship For Scheduled Caste. The objective of the scheme is to appreciably increase the Gross Enrolment Ratio of SC students in higher education with a focus on those from the poorest households, by providing financial assistance at the post-matriculation or post-secondary stage to enable them to complete their education. Category: Social welfare & Empowerment. Tags: Post Matric, Scholarship, Scheduled Cast, Punjab."
ma-gbocwwb,Medical Assistance (GBOCWWB),MA-GBOCWWB,State,Individual,Not specified (state scheme),Goa,Social welfare & Empowerment;Health & Wellness,Patient;Accident;Disease;Surgery;Medical;Labour,"Through the ""Medical Assistance (GBOCWWB)"" scheme, the worker who is hospitalized for 5 or more days due to an accident or any disease is provided with ₹400/- for the first 5 days and ₹40/- for the remaining days, subject to a maximum ₹2,000/-.",,1.0,"Medical Assistance (GBOCWWB). Through the ""Medical Assistance (GBOCWWB)"" scheme, the worker who is hospitalized for 5 or more days due to an accident or any disease is provided with ₹400/- for the first 5 days and ₹40/- for the remaining days, subject to a maximum ₹2,000/-. Category: Social welfare & Empowerment, Health & Wellness. Tags: Patient, Accident, Disease, Surgery, Medical, Labour."
cmheess,Uchcha Shiksha Protsahan Chhatravriti Yojana,USPCY,State,Individual,Not specified (state scheme),Uttarakhand,Education & Learning,Higher Education;Scholarship;Student;Graduation;Post-graduation,The scheme aims to promote higher education among meritorious students by providing financial support to regular undergraduate and postgraduate students in government colleges and state universities of Uttarakhand.,,1.0,"Uchcha Shiksha Protsahan Chhatravriti Yojana. The scheme aims to promote higher education among meritorious students by providing financial support to regular undergraduate and postgraduate students in government colleges and state universities of Uttarakhand. Category: Education & Learning. Tags: Higher Education, Scholarship, Student, Graduation, Post-graduation."
dcps,Dependent Children Pension Scheme - Punjab,Dcps,State,Individual,Not specified (state scheme),Punjab,Social welfare & Empowerment,Financial Assistance;Social Welfare;Children,Punjab State Government started a pension for Dependent Children of the state.,,1.0,"Dependent Children Pension Scheme - Punjab. Punjab State Government started a pension for Dependent Children of the state. Category: Social welfare & Empowerment. Tags: Financial Assistance, Social Welfare, Children."
gspevcsg,Grant of Subsidy for Purchase of 'Electric Vehicles' to Consumers in State of Goa,GSPEVCSG,State,Individual,Not specified (state scheme),Goa,"Agriculture,Rural & Environment;Transport & Infrastructure",Subsidy;Vehicle;Consumer;Incentive;Transport,"The scheme provides financial assistance in the form of a subsidy for the purchase or conversion of Electric two-wheelers, three-wheelers, and four-wheelers, along with scrapping incentives for old vehicles, incentives for local manufacturing in Goa, and low-cost loans provided by CESL.",,1.0,"Grant of Subsidy for Purchase of 'Electric Vehicles' to Consumers in State of Goa. The scheme provides financial assistance in the form of a subsidy for the purchase or conversion of Electric two-wheelers, three-wheelers, and four-wheelers, along with scrapping incentives for old vehicles, incentives for local manufacturing in Goa, and low-cost loans provided by CESL. Category: Agriculture,Rural & Environment, Transport & Infrastructure. Tags: Subsidy, Vehicle, Consumer, Incentive, Transport."
sssscm,"Scholarship Scheme of Sainik School Chhingchhip, Mizoram",SSSSCM,State,Individual,Not specified (state scheme),Mizoram,Education & Learning,Student;Scholarship;Education;Tuition;Defence;Stipend,"The scheme aims to award financial scholarships to eligible boys of Mizoram domicile who are admitted to Sainik School Chhingchhip, specifically to foster their development and prepare them for future entry into the officer’s cadre of the Armed Forces. Benefits include coverage for School Fee, etc.",,1.0,"Scholarship Scheme of Sainik School Chhingchhip, Mizoram. The scheme aims to award financial scholarships to eligible boys of Mizoram domicile who are admitted to Sainik School Chhingchhip, specifically to foster their development and prepare them for future entry into the officer’s cadre of the Armed Forces. Benefits include coverage for School Fee, etc. Category: Education & Learning. Tags: Student, Scholarship, Education, Tuition, Defence, Stipend."
marriage-of-daughter-of-sc-widow,Financial Assistance for the Marriage of Daughters of Widows/Destitute Women belonging to the Scheduled Caste,FAMDW,State,Family,Not specified (state scheme),Chandigarh,Social welfare & Empowerment;Women and Child,Widow Women;Daughter Marriage;Financial Assistance;Scheduled Caste,"By the Chandigarh Government, this scheme is initiated to reduce the financial burden for the girl marriage. Under the scheme financial assistance will be provided.",,2.0,"Financial Assistance for the Marriage of Daughters of Widows/Destitute Women belonging to the Scheduled Caste. By the Chandigarh Government, this scheme is initiated to reduce the financial burden for the girl marriage. Under the scheme financial assistance will be provided. Category: Social welfare & Empowerment, Women and Child. Tags: Widow Women, Daughter Marriage, Financial Assistance, Scheduled Caste."
rmsrppp,Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar,RMSRPPP,State,Individual,Not specified (state scheme),Uttarakhand,Education & Learning,Education;Cash Incentive;NCC,"This scheme awards cash incentives to NCC cadets who demonstrate outstanding performance in the current year's RDC, TSC, VSC, or NSC camps, recognizing six gold medal recipients with ₹3,000/- and six silver medal recipients with ₹2000/-.",,1.0,"Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar. This scheme awards cash incentives to NCC cadets who demonstrate outstanding performance in the current year's RDC, TSC, VSC, or NSC camps, recognizing six gold medal recipients with ₹3,000/- and six silver medal recipients with ₹2000/-. Category: Education & Learning. Tags: Education, Cash Incentive, NCC."
ipsacispg,Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Capital Investment In Solar Power Generation,IPSACISPG,State,Infra,Not specified (state scheme),Dadra & Nagar Haveli and Daman & Diu,Business & Entrepreneurship,Solar Power Generation;Capital Investment;MSMEs;Incentives;Entrepreneurship;Subsidy;Reimbursement,"“Assistance For Capital Investment In Solar Power Generation” under the “Investment Promotion Scheme (IPS)” for MSME sector, by the Dept. of Industries, DNH & DD, aims to encourage MSMEs to use Solar Power through providing Capital subsidy for setting up of Solar Power Plant for generation of power.",,3.0,"Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Capital Investment In Solar Power Generation. “Assistance For Capital Investment In Solar Power Generation” under the “Investment Promotion Scheme (IPS)” for MSME sector, by the Dept. of Industries, DNH & DD, aims to encourage MSMEs to use Solar Power through providing Capital subsidy for setting up of Solar Power Plant for generation of power. Category: Business & Entrepreneurship. Tags: Solar Power Generation, Capital Investment, MSMEs, Incentives, Entrepreneurship, Subsidy, Reimbursement."
fanf-pwd,Financial Assistance Under The National Fund For Persons With Disabilities,FANF-PWD,Central,Infra,Ministry Of Social Justice and Empowerment,All,Skills & Employment;Social welfare & Empowerment,Disability;PwD;Differently Abled;Empowerment;Financial Assistance,A scheme by DoEPwDs for providing financial assistance to the Persons with Disabilities (PwDs) in support of various livelihood activities. The objective of these guidelines is to provide a framework to support financial assistance under the Fund for relevant core areas for empowerment of PwDs.,,3.0,"Financial Assistance Under The National Fund For Persons With Disabilities. A scheme by DoEPwDs for providing financial assistance to the Persons with Disabilities (PwDs) in support of various livelihood activities. The objective of these guidelines is to provide a framework to support financial assistance under the Fund for relevant core areas for empowerment of PwDs. Category: Skills & Employment, Social welfare & Empowerment. Tags: Disability, PwD, Differently Abled, Empowerment, Financial Assistance."
isds,Integrated Sheep Development Scheme,ISDS,State,Infra,Not specified (state scheme),Jammu and Kashmir,"Agriculture,Rural & Environment",Livestock;Animal Husbandry,ISDS was launched in the year 2020-21 by the J&K Govt. to promote income generation through the establishment of sheep & goat units. This scheme is innovative & self-sustaining as fresh units shall be established in a continuous cyclic manner from the retrieved livestock of previous beneficiaries.,,3.0,"Integrated Sheep Development Scheme. ISDS was launched in the year 2020-21 by the J&K Govt. to promote income generation through the establishment of sheep & goat units. This scheme is innovative & self-sustaining as fresh units shall be established in a continuous cyclic manner from the retrieved livestock of previous beneficiaries. Category: Agriculture,Rural & Environment. Tags: Livestock, Animal Husbandry."
nsygtkdc,New Swarnima Yojana for Women (GTKVN),NSYW(GTKVN),State,Individual,Not specified (state scheme),Gujarat,"Banking,Financial Services and Insurance;Business & Entrepreneurship;Women and Child",Business;Entrepreneurship;Loan;Self-Employment;Woman;BPL;Thakor Caste;Koli Caste,"The scheme aims to promote economic upliftment of women from Thakor & Koli communities living below poverty line by supporting them in self-employment ventures. Under this scheme, 100% financial support up to ₹1,00,000/- is provided to eligible women for starting a business/trade of their choice.",,1.0,"New Swarnima Yojana for Women (GTKVN). The scheme aims to promote economic upliftment of women from Thakor & Koli communities living below poverty line by supporting them in self-employment ventures. Under this scheme, 100% financial support up to ₹1,00,000/- is provided to eligible women for starting a business/trade of their choice. Category: Banking,Financial Services and Insurance, Business & Entrepreneurship, Women and Child. Tags: Business, Entrepreneurship, Loan, Self-Employment, Woman, BPL, Thakor Caste, Koli Caste."
makbocwwb,Marriage Assistance (K.B.O.C.W.W.B),MAKBOCWWB,State,Family,Not specified (state scheme),Karnataka,Women and Child;Social welfare & Empowerment,Labour;Building Worker;Construction Worker;Marriage;Weeding,"The ""Marriage Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial support to registered construction workers for the marriage expenses of their own or their two (2) dependent children's marriages.",,2.0,"Marriage Assistance (K.B.O.C.W.W.B). The ""Marriage Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme that provides financial support to registered construction workers for the marriage expenses of their own or their two (2) dependent children's marriages. Category: Women and Child, Social welfare & Empowerment. Tags: Labour, Building Worker, Construction Worker, Marriage, Weeding."
saec,State Art Exhibition Competition,SAEC,State,Individual,Not specified (state scheme),Gujarat,Sports & Culture,State Art Exhibition;Fine Arts Competition;Awards;Cash Prize;Artist Scholarship,"The scheme ""State Art Exhibition Competition"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote fine arts and recognize artistic talents by providing awards and scholarships to artists, art students, and school children across Gujarat.",,1.0,"State Art Exhibition Competition. The scheme ""State Art Exhibition Competition"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote fine arts and recognize artistic talents by providing awards and scholarships to artists, art students, and school children across Gujarat. Category: Sports & Culture. Tags: State Art Exhibition, Fine Arts Competition, Awards, Cash Prize, Artist Scholarship."
